STA,Station.Name,Latitude,Longitude,County.Name,Agency.Name,Sensor.No,Sensor,Description,Units
GYS,GOODYEAR SLOUGH,38.118,-122.095,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
GYS,GOODYEAR SLOUGH,38.118,-122.095,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
GYS,GOODYEAR SLOUGH,38.118,-122.095,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GYS,GOODYEAR SLOUGH,38.118,-122.095,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GZB,GRIZZLY BAY BUOY,38.123145,-122.007582,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
GZB,GRIZZLY BAY BUOY,38.123145,-122.007582,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
GZB,GRIZZLY BAY BUOY,38.123145,-122.007582,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GZB,GRIZZLY BAY BUOY,38.123145,-122.007582,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
GZB,GRIZZLY BAY BUOY,38.123145,-122.007582,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GZL,GRIZZLY BAY,38.12425,-122.038117,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
GZL,GRIZZLY BAY,38.12425,-122.038117,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
GZL,GRIZZLY BAY,38.12425,-122.038117,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GZL,GRIZZLY BAY,38.12425,-122.038117,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
GZL,GRIZZLY BAY,38.12425,-122.038117,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,38.141304,-122.060196,SOLANO,CA Dept of Water Resources/Div of Environmental Services,221,TURB WF,"WATER, TURBIDITY FNU",FNU
HBP,HARVEY O BANKS PUMPING P (KA000331),37.801944,-121.620278,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
HBP,HARVEY O BANKS PUMPING P (KA000331),37.801944,-121.620278,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,62,PH VAL,"WATER, PH VALUE",PH
HBP,HARVEY O BANKS PUMPING P (KA000331),37.801944,-121.620278,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HLL,HOLLAND TRACT,38.006986,-121.580617,CONTRA COSTA,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
HLL,HOLLAND TRACT,38.006986,-121.580617,CONTRA COSTA,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,1,RIV STG,RIVER STAGE,FEET
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,21,VLOCITY,"WATER, VELOCITY",FT/SEC
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,25,TEMP W,"TEMPERATURE, WATER",DEG F
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,28,CHLORPH,CHLOROPHYLL,ug/L
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HLT,MIDDLE RIVER NEAR HOLT,38.0031,-121.5108,SAN JOAQUIN,USGS/DWR,221,TURB WF,"WATER, TURBIDITY FNU",FNU
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,1,RIV STG,RIVER STAGE,FEET
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,21,VLOCITY,"WATER, VELOCITY",FT/SEC
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,25,TEMP W,"TEMPERATURE, WATER",DEG F
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HOL,HOLLAND CUT NEAR BETHEL ISLAND,38.0164,-121.5819,SAN JOAQUIN,USGS/DWR,221,TURB WF,"WATER, TURBIDITY FNU",FNU
HON,HONKER BAY,38.0724,-121.9392,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
HON,HONKER BAY,38.0724,-121.9392,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
HON,HONKER BAY,38.0724,-121.9392,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
HON,HONKER BAY,38.0724,-121.9392,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
HON,HONKER BAY,38.0724,-121.9392,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HRO,HARVEY O BANKS PUMPING PLANT,37.798,-121.623,CONTRA COSTA,CA Dept of Water Resources/O&M San Joaquin Field Division,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
HRO,HARVEY O BANKS PUMPING PLANT,37.798,-121.623,CONTRA COSTA,CA Dept of Water Resources/O&M San Joaquin Field Division,62,PH VAL,"WATER, PH VALUE",PH
HRO,HARVEY O BANKS PUMPING PLANT,37.798,-121.623,CONTRA COSTA,CA Dept of Water Resources/O&M San Joaquin Field Division,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
HSL,HILL SLOUGH,38.2222,-122.024,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,38.156,-122.0527,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
IBS,IBIS,38.157,-122.113,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
IBS,IBIS,38.157,-122.113,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
IBS,IBIS,38.157,-122.113,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
ISH,ITALIAN SLOUGH HEADWATER NR BYRON,37.84012222,-121.6029587,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
JER,JERSEY POINT,38.052155,-121.688971,CONTRA COSTA,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
JER,JERSEY POINT,38.052155,-121.688971,CONTRA COSTA,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
JTR,JONES TRACT,37.9224,-121.5182,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
JTR,JONES TRACT,37.9224,-121.5182,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
KA0,CLIFTON COURT (KA000000) TEST SITE,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,25,TEMP W,"TEMPERATURE, WATER",DEG F
KA0,CLIFTON COURT (KA000000) TEST SITE,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,62,PH VAL,"WATER, PH VALUE",PH
KA0,CLIFTON COURT (KA000000) TEST SITE,37.8298,-121.5574,CONTRA COSTA,CA Dept of Water Resources/Operations and Maintenance,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
LIB,LIBERTY ISLAND @ APPROX CNTR S END,38.2421,-121.6849,SOLANO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,38.0964,-121.4961,SAN JOAQUIN,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
M13,SACRAMENTO RIVER BL TOLAND LANDING,38.077808,-121.767288,SOLANO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MAB,MIDDLE RIVER ABOVE BARRIER,37.88518143,-121.4727631,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
MAB,MIDDLE RIVER ABOVE BARRIER,37.88518143,-121.4727631,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MAB,MIDDLE RIVER ABOVE BARRIER,37.88518143,-121.4727631,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MAB,MIDDLE RIVER ABOVE BARRIER,37.88518143,-121.4727631,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,38.04280472,-121.9200897,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MDM,MIDDLE RIVER AT MIDDLE RIVER,37.943,-121.534,SAN JOAQUIN,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,37.876222,-121.383306,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MHR,MIDDLE RIVER AT HOWARD ROAD BRIDGE,37.877,-121.384,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
MHR,MIDDLE RIVER AT HOWARD ROAD BRIDGE,37.877,-121.384,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MHR,MIDDLE RIVER AT HOWARD ROAD BRIDGE,37.877,-121.384,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,38.236027,-121.666055,SOLANO,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MKN,NF MOKELUMNE R BLW SNODGRASS SLOUGH,38.223138,-121.50677,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,1,RIV STG,RIVER STAGE,FEET
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,25,TEMP W,"TEMPERATURE, WATER",DEG F
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,38.1061,-121.5711,SAN JOAQUIN,USGS/DWR,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,21,VLOCITY,"WATER, VELOCITY",FT/SEC
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MRU,MIDDLE RIVER AT UNDINE ROAD,37.8339,-121.386,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MRX,MIDDLE RIVER NEAR TRACY BLVD,37.881415,-121.467395,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
MRZ,MARTINEZ,38.02763748,-122.1404877,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
MSL,MONTEZUMA SLOUGH AT ROARING R,38.0934,-121.88720000000001,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
MSL,MONTEZUMA SLOUGH AT ROARING R,38.0934,-121.88720000000001,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
